id,어코드,노트명,이미지URL
125,Floral,연꽃,https://fimgs.net/mdimg/sastojci/t.27.jpg?1733161262
126,Floral,오렌지 꽃,https://fimgs.net/mdimg/sastojci/t.16.jpg?1733161259
127,Floral,오키드,https://fimgs.net/mdimg/sastojci/t.154.jpg?1733161259
128,Floral,올리브 꽃,https://fimgs.net/mdimg/sastojci/t.427.jpg?1733161265
129,Floral,월플라워,https://fimgs.net/mdimg/sastojci/t.235.jpg?1733161261
130,Floral,위성류,https://fimgs.net/mdimg/sastojci/t.773.jpg?1733161266
131,Floral,은방울꽃,https://fimgs.net/mdimg/sastojci/t.109.jpg?1733161258
132,Floral,인동덩굴,https://fimgs.net/mdimg/sastojci/t.86.jpg?1733161266
133,Floral,일랑일랑,https://fimgs.net/mdimg/sastojci/t.24.jpg?1733161261
134,Floral,자귀나무 꽃,https://fimgs.net/mdimg/sastojci/t.396.jpg?1733161265
135,Floral,재스민,https://fimgs.net/mdimg/sastojci/t.14.jpg?1733161259
136,Floral,제라늄,https://fimgs.net/mdimg/sastojci/t.21.jpg?1733161260
137,Floral,참파카,https://fimgs.net/mdimg/sastojci/t.243.jpg?1733161261
138,Floral,초롱꽃,https://fimgs.net/mdimg/sastojci/t.293.jpg?1733161262
139,Floral,카네이션,https://fimgs.net/mdimg/sastojci/t.7.jpg?1733161266
140,Floral,클로버,https://fimgs.net/mdimg/sastojci/t.125.jpg?1733161258
141,Floral,타바코 꽃,https://fimgs.net/mdimg/sastojci/t.346.jpg?1733161264
142,Floral,타이프 로즈,https://fimgs.net/mdimg/sastojci/t.115.jpg?1733161258
143,Floral,튜베로즈,https://fimgs.net/mdimg/sastojci/t.25.jpg?1733161261
144,Floral,튤립,https://fimgs.net/mdimg/sastojci/t.222.jpg?1733161260
145,Floral,티아레 꽃,https://fimgs.net/mdimg/sastojci/t.148.jpg?1733161259
146,Floral,패션 플라워,https://fimgs.net/mdimg/sastojci/t.162.jpg?1733161259
147,Floral,페탈리아,https://fimgs.net/mdimg/sastojci/t.617.jpg?1733161265
148,Floral,포마로즈,https://fimgs.net/mdimg/sastojci/t.872.jpg?1733161266
149,Floral,프랑지파니,https://fimgs.net/mdimg/sastojci/t.151.jpg?1733161259
150,Floral,프리지아,https://fimgs.net/mdimg/sastojci/t.94.jpg?1733161266
151,Floral,플로럴 노트,https://fimgs.net/mdimg/sastojci/t.314.jpg?1733161263
152,Floral,핑크 릴리,https://fimgs.net/mdimg/sastojci/t.1370.jpg?1758816611
153,Floral,한련화,https://fimgs.net/mdimg/sastojci/t.384.jpg?1733161265
154,Floral,해바라기,https://fimgs.net/mdimg/sastojci/t.228.jpg?1733161261
155,Floral,화이트 플라워,https://fimgs.net/mdimg/sastojci/t.323.jpg?1733161263
156,Floral,히비스커스,https://fimgs.net/mdimg/sastojci/t.187.jpg?1733161259
157,Floral,히아신스,https://fimgs.net/mdimg/sastojci/t.22.jpg?1733161261
158,Fresh,레인 노트,https://fimgs.net/mdimg/sastojci/t.800.jpg?1733161266
159,Fresh,물,https://fimgs.net/mdimg/sastojci/t.370.jpg?1733161264
160,Fresh,미네랄 노트,https://fimgs.net/mdimg/sastojci/t.820.jpg?1733161266
161,Fresh,민트,https://fimgs.net/mdimg/sastojci/t.160.jpg?1733161259
162,Fresh,산의 공기,https://fimgs.net/mdimg/sastojci/t.679.jpg?1733161266
163,Fresh,소금,https://fimgs.net/mdimg/sastojci/t.231.jpg?1733161261
164,Fresh,스피어민트,https://fimgs.net/mdimg/sastojci/t.1565.jpg?1733161259
165,Fresh,아쿠오존,https://fimgs.net/mdimg/sastojci/t.1039.jpg?1749628421
166,Fresh,얼음,https://fimgs.net/mdimg/sastojci/t.856.jpg?1733161266
167,Fresh,오조닉 노트,https://fimgs.net/mdimg/sastojci/t.669.jpg?1733161266
168,Fresh,유칼립투스,https://fimgs.net/mdimg/sastojci/t.149.jpg?1733161259
169,Fresh,이슬방울,https://fimgs.net/mdimg/sastojci/t.798.jpg?1733161266
170,Fresh,장뇌,https://fimgs.net/mdimg/sastojci/t.404.jpg?1733161265
171,Fresh,카스칼론,https://fimgs.net/mdimg/sastojci/t.706.jpg?1733161266
172,Fresh,칼론,https://fimgs.net/mdimg/sastojci/t.423.jpg?1733161265
173,Fresh,칼립손,https://fimgs.net/mdimg/sastojci/t.1032.jpg?1733161257
174,Fresh,토닉 워터,https://fimgs.net/mdimg/sastojci/t.660.jpg?1733161265
175,Fresh,해조류,https://fimgs.net/mdimg/sastojci/t.889.jpg?1733161266
176,Fresh,해초,https://fimgs.net/mdimg/sastojci/t.409.jpg?1733161265
177,Fruity,감,https://fimgs.net/mdimg/sastojci/t.341.jpg?1733161264
178,Fruity,고지 베리,https://fimgs.net/mdimg/sastojci/t.696.jpg?1733161266
179,Fruity,구아바,https://fimgs.net/mdimg/sastojci/t.177.jpg?1733161259
180,Fruity,나시 배,https://fimgs.net/mdimg/sastojci/t.1010.jpg?1733161257
181,Fruity,너티 노트,https://fimgs.net/mdimg/sastojci/t.1023.jpg?1733161257
182,Fruity,듀베리,https://fimgs.net/mdimg/sastojci/t.644.jpg?1733161265
183,Fruity,딸기,https://fimgs.net/mdimg/sastojci/t.261.jpg?1733161261
184,Fruity,라즈베리,https://fimgs.net/mdimg/sastojci/t.174.jpg?1733161259
185,Fruity,레드 베리,https://fimgs.net/mdimg/sastojci/t.184.jpg?1733161259
186,Fruity,레드 애플,https://fimgs.net/mdimg/sastojci/t.144.jpg?1733161259
187,Fruity,레드 커런트,https://fimgs.net/mdimg/sastojci/t.134.jpg?1733161258
188,Fruity,레드 프루트,https://fimgs.net/mdimg/sastojci/t.726.jpg?1733161266
189,Fruity,로즈힙,https://fimgs.net/mdimg/sastojci/t.202.jpg?1733161259
190,Fruity,루바브,https://fimgs.net/mdimg/sastojci/t.188.jpg?1733161259
191,Fruity,리치,https://fimgs.net/mdimg/sastojci/t.194.jpg?1733161259
192,Fruity,말린 과일,https://fimgs.net/mdimg/sastojci/t.230.jpg?1733161261
193,Fruity,망고,https://fimgs.net/mdimg/sastojci/t.179.jpg?1733161259
194,Fruity,멜론,https://fimgs.net/mdimg/sastojci/t.172.jpg?1733161259
195,Fruity,모과,https://fimgs.net/mdimg/sastojci/t.223.jpg?1733161261
196,Fruity,무화과,https://fimgs.net/mdimg/sastojci/t.247.jpg?1733161261
197,Fruity,미라벨,https://fimgs.net/mdimg/sastojci/t.491.jpg?1733161265
198,Fruity,바나나,https://fimgs.net/mdimg/sastojci/t.123.jpg?1733161258
